id,original,cleaned,tokens_count,lemmas,n_tokens_changed
278,"""Im bored of the Jon Jones v Tom Aspinall topic.""
Next Day: (posts another jon jones video)
Relax baud - you're making bank on the jones v aspinall content.",im bored of the jon jones v tom aspinall topic next day posts another jon jones video relax baud you re making bank on the jones v aspinall content,29,im bored of the jon jones v tom aspinall topic next day post another jon jones video relax baud you re making bank on the jones v aspinall content,1
279,"I knew it.  Jon doesn't have the guts, nor the physique or skill  to face Aspinall",i knew it jon doesn t have the guts nor the physique or skill to face aspinall,17,i knew it jon doesn t have the gut nor the physique or skill to face aspinall,1
280,Best edits I've ever seen! Please do Mighty Mouse's retirement,best edits i ve ever seen please do mighty mouse s retirement,12,best edits i ve ever seen please do mighty mouse s retirement,0
281,Your telling me he became the best ever after only training for 9 months against people who had done it for years at such a young age. This dude was definitely on the roids lol,your telling me he became the best ever after only training for 9 months against people who had done it for years at such a young age this dude was definitely on the roids lol,35,your telling me he became the best ever after only training for 9 month against people who had done it for year at such a young age this dude wa definitely on the roids lol,3
282,"You couldn't.
Even come close to kicking John Jones's a** in your prime bro.Come on, he's the goat.He's a bastard's ever done it",you couldn t even come close to kicking john jones s a in your prime bro come on he s the goat he s a bastard s ever done it,30,you couldn t even come close to kicking john jones s a in your prime bro come on he s the goat he s a bastard s ever done it,0
283,Dana where is Tom’s check for wasting almost 2 years of his fighting prime? He should be paid for 3 fights since that’s the least he would have done.,dana where is tom s check for wasting almost 2 years of his fighting prime he should be paid for 3 fights since that s the least he would have done,31,dana where is tom s check for wasting almost 2 year of his fighting prime he should be paid for 3 fight since that s the least he would have done,2
284,Amazing video,amazing video,2,amazing video,0
285,“See what Dana wants” ok bro 😂😂😂😂,see what dana wants ok bro 😂😂😂😂,7,see what dana want ok bro 😂😂😂😂,1
286,"Maybe they'll announce it at international fight week. If not, rip.",maybe they ll announce it at international fight week if not rip,12,maybe they ll announce it at international fight week if not rip,0
287,Jon Jones vs Jake Paul confirmed,jon jones vs jake paul confirmed,6,jon jones v jake paul confirmed,1
288,"Damn, Father Time catches up to all man sad to see. Y’all enjoy the fucl out his next fight cuz it’s his last",damn father time catches up to all man sad to see y all enjoy the fucl out his next fight cuz it s his last,25,damn father time catch up to all man sad to see y all enjoy the fucl out his next fight cuz it s his last,1
289,Jon Jones is a fraud and chael still beat his roided out dirty fighting self,jon jones is a fraud and chael still beat his roided out dirty fighting self,15,jon jones is a fraud and chael still beat his roided out dirty fighting self,0
290,Dana stfu everyone knows he ducked Tom,dana stfu everyone knows he ducked tom,7,dana stfu everyone know he ducked tom,1
291,I would have loved it if Chael beat both Jones and Mr. Anderson!,i would have loved it if chael beat both jones and mr anderson,13,i would have loved it if chael beat both jones and mr anderson,0
292,Jon hasn't been the same since he got beat by Reyes,jon hasn t been the same since he got beat by reyes,12,jon hasn t been the same since he got beat by reyes,0
293,Jones will kill Aspinal,jones will kill aspinal,4,jones will kill aspinal,0
294,That little annoying mosquito flying around is Tom Aspinall… begging for his shot at greatness. 😂,that little annoying mosquito flying around is tom aspinall begging for his shot at greatness 😂,16,that little annoying mosquito flying around is tom aspinall begging for his shot at greatness 😂,0
295,"dana white has half a billion dollars at least, and pays fighters less than living wage",dana white has half a billion dollars at least and pays fighters less than living wage,16,dana white ha half a billion dollar at least and pay fighter less than living wage,4
296,Sonnen made a living by talking shit just to get his ass kicked.,sonnen made a living by talking shit just to get his ass kicked,13,sonnen made a living by talking shit just to get his as kicked,1
297,Khabib retired bc he knew if he took a single rematch he’d surely get his own cheeks handed to him… EASILY!!!,khabib retired bc he knew if he took a single rematch he d surely get his own cheeks handed to him easily,22,khabib retired bc he knew if he took a single rematch he d surely get his own cheek handed to him easily,1
298,And now explain to me how the judges managed to give Jon Jones the win.. still can't believe it... Totally robbed Reyes,and now explain to me how the judges managed to give jon jones the win still can t believe it totally robbed reyes,23,and now explain to me how the judge managed to give jon jones the win still can t believe it totally robbed reyes,1
299,good one FMMA... cause if one doesn’t  know that Blaydes is out you'd think Stipe is out...  by seeing the pic on this vid lol,good one fmma cause if one doesn t know that blaydes is out you d think stipe is out by seeing the pic on this vid lol,27,good one fmma cause if one doesn t know that blaydes is out you d think stipe is out by seeing the pic on this vid lol,0
300,Someone tell this man to do his job and fight Aspinall 😂😂😂😂,someone tell this man to do his job and fight aspinall 😂😂😂😂,12,someone tell this man to do his job and fight aspinall 😂😂😂😂,0
301,Never let a crackhead on the field. Football 101,never let a crackhead on the field football 101,9,never let a crackhead on the field football 101,0
302,Tom's hasn't been an ass hole at all. He's got more vocal about the fact that your clearly dodging him. And now saying you'll retire if you dont get what you want. Maybe you should leave. you'll always be remembered for dodging that fight,tom s hasn t been an ass hole at all he s got more vocal about the fact that your clearly dodging him and now saying you ll retire if you dont get what you want maybe you should leave you ll always be remembered for dodging that fight,49,tom s hasn t been an as hole at all he s got more vocal about the fact that your clearly dodging him and now saying you ll retire if you dont get what you want maybe you should leave you ll always be remembered for dodging that fight,1
303,Dana coping like Jamahal Hill.,dana coping like jamahal hill,5,dana coping like jamahal hill,0
304,Returning to the pond😂😂😂,returning to the pond😂😂😂,4,returning to the pond😂😂😂,0
305,Drunk as he speaks Said “hey pullover at that Lq store I need more drink Before the interview” i was the Sweat gland tryna push out the toxins so I know,drunk as he speaks said hey pullover at that lq store i need more drink before the interview i was the sweat gland tryna push out the toxins so i know,31,drunk a he speaks said hey pullover at that lq store i need more drink before the interview i wa the sweat gland tryna push out the toxin so i know,3
306,He was a master class fighter and should be honoured in as a Warrior in the hall of fame,he was a master class fighter and should be honoured in as a warrior in the hall of fame,19,he wa a master class fighter and should be honoured in a a warrior in the hall of fame,2
307,His ego wouldn't let him take the loss,his ego wouldn t let him take the loss,9,his ego wouldn t let him take the loss,0
308,I will say…. This gentleman is very creative and full of humor!! He definitely deserves an opportunity to dance with John Jones.,i will say this gentleman is very creative and full of humor he definitely deserves an opportunity to dance with john jones,22,i will say this gentleman is very creative and full of humor he definitely deserves an opportunity to dance with john jones,0
309,Another 20% needs of the revenue should go to the fighters mostly the base contracts which 10 and 10,another 20 needs of the revenue should go to the fighters mostly the base contracts which 10 and 10,19,another 20 need of the revenue should go to the fighter mostly the base contract which 10 and 10,3
310,Except Jon is not the undisputed champion LMFAO  because there is a freaking interim champion,except jon is not the undisputed champion lmfao because there is a freaking interim champion,15,except jon is not the undisputed champion lmfao because there is a freaking interim champion,0
311,"What an awesome dude. Will be happy to have him as the Heavy Weight Champion! Francis, Junior, Randy, Stipe....all my favorites, now add Tom to that list!",what an awesome dude will be happy to have him as the heavy weight champion francis junior randy stipe all my favorites now add tom to that list,28,what an awesome dude will be happy to have him a the heavy weight champion francis junior randy stipe all my favorite now add tom to that list,2
312,QUACK!,quack,1,quack,0
313,No shame,no shame,2,no shame,0
314,Greatest combat sports athlete… idk about that,greatest combat sports athlete idk about that,7,greatest combat sport athlete idk about that,1
315,We should not care about Jon Jones that guy is the past everyone knows he will and would lose against Aspinall.,we should not care about jon jones that guy is the past everyone knows he will and would lose against aspinall,21,we should not care about jon jones that guy is the past everyone know he will and would lose against aspinall,1
316,He literally just said he wont fight tom because toms more dangerous. He made a career out of beating older champions past their prime but now hes finally fighting someone younger and he runs scared,he literally just said he wont fight tom because toms more dangerous he made a career out of beating older champions past their prime but now hes finally fighting someone younger and he runs scared,35,he literally just said he wont fight tom because tom more dangerous he made a career out of beating older champion past their prime but now he finally fighting someone younger and he run scared,4
317,"No, Tom has ALWAYS been the heavyweight champion.",no tom has always been the heavyweight champion,8,no tom ha always been the heavyweight champion,1
318,"From afar, I have never witnessed a bigger narcissist. Given the rumours, Jonny Meat is a strange one.",from afar i have never witnessed a bigger narcissist given the rumours jonny meat is a strange one,18,from afar i have never witnessed a bigger narcissist given the rumour jonny meat is a strange one,1
319,"Khabib mentality: money doesn't matter brother, legacy does ✊🏼",khabib mentality money doesn t matter brother legacy does ✊🏼,10,khabib mentality money doesn t matter brother legacy doe ✊🏼,1
320,Jon jones would starch Tom he’s to well rounded but we shall see if he last that long jones has been the best for a decade,jon jones would starch tom he s to well rounded but we shall see if he last that long jones has been the best for a decade,27,jon jones would starch tom he s to well rounded but we shall see if he last that long jones ha been the best for a decade,1
321,DC took this well I enjoy this man he's solid,dc took this well i enjoy this man he s solid,11,dc took this well i enjoy this man he s solid,0
322,"""Other famous heavyweights"" hahahahahhahaha",other famous heavyweights hahahahahhahaha,4,other famous heavyweight hahahahahhahaha,1
323,Jones correu do Francis e agora tá correndo do espinal essa luta não vai rolar não esperem essa luta,jones correu do francis e agora tá correndo do espinal essa luta não vai rolar não esperem essa luta,19,jones correu do francis e agora tá correndo do espinal essa luta não vai rolar não esperem essa luta,0
324,"DC wanted him to lose so bad, he's upset lol",dc wanted him to lose so bad he s upset lol,11,dc wanted him to lose so bad he s upset lol,0
325,Jones and connor are for sure the biggest fights to be made but to wait on these guys is a mistake,jones and connor are for sure the biggest fights to be made but to wait on these guys is a mistake,21,jones and connor are for sure the biggest fight to be made but to wait on these guy is a mistake,2
326,Jon describing the Paul - Tyson fight is how we are all describing his fight against Stipe.,jon describing the paul tyson fight is how we are all describing his fight against stipe,16,jon describing the paul tyson fight is how we are all describing his fight against stipe,0
327,I can assure you that only person that will never tap against anyone will always be this fucking boogeyman 👏,i can assure you that only person that will never tap against anyone will always be this fucking boogeyman 👏,20,i can assure you that only person that will never tap against anyone will always be this fucking boogeyman 👏,0
328,I don't get this ducker bruv...Where does he get that ego from!? Bro literally ducking one after another and still acts like he doesn't give a damn about the interim champion...Stupid,i don t get this ducker bruv where does he get that ego from bro literally ducking one after another and still acts like he doesn t give a damn about the interim champion stupid,35,i don t get this ducker bruv where doe he get that ego from bro literally ducking one after another and still act like he doesn t give a damn about the interim champion stupid,2
329,Ha ha henry cejudo tried but buuuuu ga ha😅😊😅😂😂,ha ha henry cejudo tried but buuuuu ga ha😅😊😅😂😂,9,ha ha henry cejudo tried but buuuuu ga ha😅😊😅😂😂,0
330,UFC ratings already going down all the good fighters are gone. Y’all got Tom ass don’t nobody wanna watch that lug nut fight.,ufc ratings already going down all the good fighters are gone y all got tom ass don t nobody wanna watch that lug nut fight,25,ufc rating already going down all the good fighter are gone y all got tom as don t nobody wanna watch that lug nut fight,3
331,All these losers in the comments. Maybe jones wants to talk about his upcoming fight and not about another guy? Idk. Seems like common sense to me.,all these losers in the comments maybe jones wants to talk about his upcoming fight and not about another guy idk seems like common sense to me,27,all these loser in the comment maybe jones want to talk about his upcoming fight and not about another guy idk seems like common sense to me,3
332,He's ducking interviews now wild,he s ducking interviews now wild,6,he s ducking interview now wild,1
333,who is this guy?,who is this guy,4,who is this guy,0
334,Idk man him weighing 215 against a 240 lb man may not be a great idea,idk man him weighing 215 against a 240 lb man may not be a great idea,16,idk man him weighing 215 against a 240 lb man may not be a great idea,0
335,Are you a trainor or A person who wants the money and you wanna killed that man in the battle.,are you a trainor or a person who wants the money and you wanna killed that man in the battle,20,are you a trainor or a person who want the money and you wanna killed that man in the battle,1
336,prime tony will win but not he has 0 chance,prime tony will win but not he has 0 chance,10,prime tony will win but not he ha 0 chance,1
337,Humiliation,humiliation,1,humiliation,0
338,Drop them balls down his gullet,drop them balls down his gullet,6,drop them ball down his gullet,1
339,Ladies and gentlemen...,ladies and gentlemen,3,lady and gentleman,2
340,Vacate the belt already. Dude holding on to the belt while refusing to fight the interim. Never happpened before in the history of the UFC.,vacate the belt already dude holding on to the belt while refusing to fight the interim never happpened before in the history of the ufc,25,vacate the belt already dude holding on to the belt while refusing to fight the interim never happpened before in the history of the ufc,0
341,I see all this clips of Jon now training with random people almost like he’s trying I atone for his sins in a way. Also seems to be avoiding coming back which kinda shows his real character. Was willing to beat up old guys and gain all the recognition for it but now that he’s over the hill and the younger guys want there crack at him he’s hiding,i see all this clips of jon now training with random people almost like he s trying i atone for his sins in a way also seems to be avoiding coming back which kinda shows his real character was willing to beat up old guys and gain all the recognition for it but now that he s over the hill and the younger guys want there crack at him he s hiding,72,i see all this clip of jon now training with random people almost like he s trying i atone for his sin in a way also seems to be avoiding coming back which kinda show his real character wa willing to beat up old guy and gain all the recognition for it but now that he s over the hill and the younger guy want there crack at him he s hiding,6
342,Roids and eye pokes and lost to Reyes and DC is a simp because he is allergic to details. Jones is a prolific cheater and DC is UFC simp chill bit..,roids and eye pokes and lost to reyes and dc is a simp because he is allergic to details jones is a prolific cheater and dc is ufc simp chill bit,31,roids and eye poke and lost to reyes and dc is a simp because he is allergic to detail jones is a prolific cheater and dc is ufc simp chill bit,2
343,It’s so sad that this is how the JJ we once loved (regardless of any cheating or dirty techniques lol) is going out I would of had so much more respect for him if he took the Tom fight and whether he lost or not the fact he took it would of been enough to honour his legacy but now he’ll be remembered (especially by these younger people) of the old head who contradicted himself by ducking the young head🤦🏽‍♂️,it s so sad that this is how the jj we once loved regardless of any cheating or dirty techniques lol is going out i would of had so much more respect for him if he took the tom fight and whether he lost or not the fact he took it would of been enough to honour his legacy but now he ll be remembered especially by these younger people of the old head who contradicted himself by ducking the young head🤦🏽 ♂,83,it s so sad that this is how the jj we once loved regardless of any cheating or dirty technique lol is going out i would of had so much more respect for him if he took the tom fight and whether he lost or not the fact he took it would of been enough to honour his legacy but now he ll be remembered especially by these younger people of the old head who contradicted himself by ducking the young head🤦🏽 ♂,1
344,"Without all the drugs, i would say Jon Jones is the goat of MMA but with all the drugs enhancements i cannot say that.",without all the drugs i would say jon jones is the goat of mma but with all the drugs enhancements i cannot say that,24,without all the drug i would say jon jones is the goat of mma but with all the drug enhancement i cannot say that,3
345,🤡 enjoy retirement,🤡 enjoy retirement,3,🤡 enjoy retirement,0
346,When a English man says dont take it personally you just know its gonna be personal,when a english man says dont take it personally you just know its gonna be personal,16,when a english man say dont take it personally you just know it gonna be personal,2
347,"Jones vs teddy riner,who wins?",jones vs teddy riner who wins,6,jones v teddy riner who win,2
348,What a thin skinned man.,what a thin skinned man,5,what a thin skinned man,0
349,The sound of the knee connecting was devastating.,the sound of the knee connecting was devastating,8,the sound of the knee connecting wa devastating,1
350,He must be sober if he’s not driving,he must be sober if he s not driving,9,he must be sober if he s not driving,0
351,Tha G.O.A.T,tha g o a t,5,tha g o a t,0
352,he saw 14M scenarios in last 1yr and didn't  win in any one of them so it was time,he saw 14m scenarios in last 1yr and didn t win in any one of them so it was time,20,he saw 14m scenario in last 1yr and didn t win in any one of them so it wa time,2
353,He’s the greatest MMA fighter of all time however if he steps into a boxing ring to actually box I think he’s getting knocked out,he s the greatest mma fighter of all time however if he steps into a boxing ring to actually box i think he s getting knocked out,27,he s the greatest mma fighter of all time however if he step into a boxing ring to actually box i think he s getting knocked out,1
354,Stop the 🧢 Jon Jones isn’t scared of nobody y’all see a new guy come start winning and that’s not a diss to Tom but come on now Jon ducking and scared 🤦🏾‍♂️ just say you want to see him lose to get likes,stop the 🧢 jon jones isn t scared of nobody y all see a new guy come start winning and that s not a diss to tom but come on now jon ducking and scared 🤦🏾 ♂ just say you want to see him lose to get likes,48,stop the 🧢 jon jones isn t scared of nobody y all see a new guy come start winning and that s not a dis to tom but come on now jon ducking and scared 🤦🏾 ♂ just say you want to see him lose to get like,2
355,Is it illegal to knee to the head when your opponent is down? They said when Silva did it to Chael it was illegal.,is it illegal to knee to the head when your opponent is down they said when silva did it to chael it was illegal,24,is it illegal to knee to the head when your opponent is down they said when silva did it to chael it wa illegal,1
356,I’ve clearly missed the running inside joke but these comments are hilarious 😂,i ve clearly missed the running inside joke but these comments are hilarious 😂,14,i ve clearly missed the running inside joke but these comment are hilarious 😂,1
357,Damn no wonder chael hates him so much lol,damn no wonder chael hates him so much lol,9,damn no wonder chael hate him so much lol,1
358,Put dwane the rock jhonson in then we'll find out,put dwane the rock jhonson in then we ll find out,11,put dwane the rock jhonson in then we ll find out,0
359,All this to get knocked out eventually,all this to get knocked out eventually,7,all this to get knocked out eventually,0
360,well I just wasting fucking 22 minutes of my life that was actually the most boring thing I have ever watched jesus christ,well i just wasting fucking 22 minutes of my life that was actually the most boring thing i have ever watched jesus christ,23,well i just wasting fucking 22 minute of my life that wa actually the most boring thing i have ever watched jesus christ,2
361,Give the Tom the chance DC gave you. Sure go out retiring undefeated or go out on your shield like a true warrior. Now that to me is more respectable,give the tom the chance dc gave you sure go out retiring undefeated or go out on your shield like a true warrior now that to me is more respectable,30,give the tom the chance dc gave you sure go out retiring undefeated or go out on your shield like a true warrior now that to me is more respectable,0
362,"F**k Jones, make the fight Aspinall vs Ngannou, much better fight.",f k jones make the fight aspinall vs ngannou much better fight,12,f k jones make the fight aspinall v ngannou much better fight,1
363,Наш Богатырь👍🇷🇺,наш богатырь👍,2,наш богатырь👍,0
364,Man that's rough.,man that s rough,4,man that s rough,0
365,"IDGAF, moving on…",idgaf moving on,3,idgaf moving on,0
366,A DQ is a loss bro if you think otherwise its cope,a dq is a loss bro if you think otherwise its cope,12,a dq is a loss bro if you think otherwise it cope,1
367,"Jones though nothing away,  he came, he saw, he concord,  16 years, he us successful,  that's  all you need in life, you come out of a fight, and in a room alone, everyone is gone,  its complete silence, your alone.",jones though nothing away he came he saw he concord 16 years he us successful that s all you need in life you come out of a fight and in a room alone everyone is gone its complete silence your alone,41,jones though nothing away he came he saw he concord 16 year he u successful that s all you need in life you come out of a fight and in a room alone everyone is gone it complete silence your alone,3
368,🦆💉🙆‍♀️🤛🏿,🦆💉🙆 ♀ 🤛🏿,3,🦆💉🙆 ♀ 🤛🏿,0
369,Jones is scared,jones is scared,3,jones is scared,0
370,"If you mentally quit, there is no way you will win this fight.
His trainer should understand this.",if you mentally quit there is no way you will win this fight his trainer should understand this,18,if you mentally quit there is no way you will win this fight his trainer should understand this,0
371,This is the sucky part of becoming a fighting super star. It becomes more about the payday than defending your title against the best of the best.,this is the sucky part of becoming a fighting super star it becomes more about the payday than defending your title against the best of the best,27,this is the sucky part of becoming a fighting super star it becomes more about the payday than defending your title against the best of the best,0
372,Damn.... even colby sounds a reasonable person at this point.,damn even colby sounds a reasonable person at this point,10,damn even colby sound a reasonable person at this point,1
373,The GOAT,the goat,2,the goat,0
374,"Jon Jones landing illegal shots in his first UFC, glad to see he stayed true to himself from day one",jon jones landing illegal shots in his first ufc glad to see he stayed true to himself from day one,20,jon jones landing illegal shot in his first ufc glad to see he stayed true to himself from day one,1
375,"Tom is completely right, it needs to be settled! Love Jon’s and Dana, but the hesitation is noticeable.",tom is completely right it needs to be settled love jon s and dana but the hesitation is noticeable,19,tom is completely right it need to be settled love jon s and dana but the hesitation is noticeable,1
376,Everybody believes everything now.,everybody believes everything now,4,everybody belief everything now,1
377,Jon jones has a clone,jon jones has a clone,5,jon jones ha a clone,1
378,UFC is trash.  GREEDY  CLICK BAIT  PROMOTION  trolling fans with a DUCK as their GOAT,ufc is trash greedy click bait promotion trolling fans with a duck as their goat,15,ufc is trash greedy click bait promotion trolling fan with a duck a their goat,2
379,Jones beat this clown easily,jones beat this clown easily,5,jones beat this clown easily,0
380,Francis return fight will be against tom aspinall,francis return fight will be against tom aspinall,8,francis return fight will be against tom aspinall,0
381,Jones is lucky the ref stopped the fight. Chael was about to flip him around and finish it,jones is lucky the ref stopped the fight chael was about to flip him around and finish it,18,jones is lucky the ref stopped the fight chael wa about to flip him around and finish it,1
382,Imagine how many celebrities are going to turn on this guy INSTANTLY and pretend they had no idea when his well known history of wife beating and hit and running a preggo bites him in the ass,imagine how many celebrities are going to turn on this guy instantly and pretend they had no idea when his well known history of wife beating and hit and running a preggo bites him in the ass,37,imagine how many celebrity are going to turn on this guy instantly and pretend they had no idea when his well known history of wife beating and hit and running a preggo bite him in the as,3
383,"Thats the guy Dana White and highlight watching casual fans calls ""the goat""? 🤣",thats the guy dana white and highlight watching casual fans calls the goat 🤣,14,thats the guy dana white and highlight watching casual fan call the goat 🤣,2
384,Young Wolf and one Old Lion. Gorgeous battle that will be💪,young wolf and one old lion gorgeous battle that will be💪,11,young wolf and one old lion gorgeous battle that will be💪,0
385,АВЭФедя!😊,авэфедя 😊,2,авэфедя 😊,0
386,"I think tom vs ngganou is the true fight. 
If Jones didn't duck Francis and force him out through Dana white he would still be king. Then aspinall would be fighting Francis not Jones. And honestly I think Francis vs aspinall is way better",i think tom vs ngganou is the true fight if jones didn t duck francis and force him out through dana white he would still be king then aspinall would be fighting francis not jones and honestly i think francis vs aspinall is way better,45,i think tom v ngganou is the true fight if jones didn t duck francis and force him out through dana white he would still be king then aspinall would be fighting francis not jones and honestly i think francis v aspinall is way better,2
387,Something Ngannou fought for,something ngannou fought for,4,something ngannou fought for,0
388,As soon as there’s a legit threat Jon ducks him.,as soon as there s a legit threat jon ducks him,11,a soon a there s a legit threat jon duck him,3
389,Lmao Jon Jones knew he was gonna retire the whole time guys. He just wanted to be a troll….,lmao jon jones knew he was gonna retire the whole time guys he just wanted to be a troll,19,lmao jon jones knew he wa gonna retire the whole time guy he just wanted to be a troll,2
390,اقوى تجمع لاساطير اللعبة في اعتزال النجم,اقوى تجمع لاساطير اللعبة في اعتزال النجم,7,اقوى تجمع لاساطير اللعبة في اعتزال النجم,0
391,it looks like my dad is fighting Jon jones,it looks like my dad is fighting jon jones,9,it look like my dad is fighting jon jones,1
392,"Except that Jon DIDN'T fight Tom.  Tom defended it, so he should be undisputed Champ. 
Tom's last fight was a title DEFENSE",except that jon didn t fight tom tom defended it so he should be undisputed champ tom s last fight was a title defense,24,except that jon didn t fight tom tom defended it so he should be undisputed champ tom s last fight wa a title defense,1
393,"Nope , you're not, you'll see",nope you re not you ll see,7,nope you re not you ll see,0
394,"Tom predicted this would happen…Finally its official tho.. From now on he will be known as the 'Legendary Duck 🦆Jones' to me😌… Ready to claim his spot in the Duck Hall of Fame next to Donald.. 👏🏽 Well done 🙄 
That being said.. Congratulations to the real Champ Tom Aspinal, even tho Duck and Dana wasted his time and earnings in a shameful manner..Finally a worthy heavyweight champ who keeps it clean and who actually wants to fight whoever!",tom predicted this would happen finally its official tho from now on he will be known as the legendary duck 🦆jones to me😌 ready to claim his spot in the duck hall of fame next to donald 👏🏽 well done 🙄 that being said congratulations to the real champ tom aspinal even tho duck and dana wasted his time and earnings in a shameful manner finally a worthy heavyweight champ who keeps it clean and who actually wants to fight whoever,81,tom predicted this would happen finally it official tho from now on he will be known a the legendary duck 🦆jones to me😌 ready to claim his spot in the duck hall of fame next to donald 👏🏽 well done 🙄 that being said congratulation to the real champ tom aspinal even tho duck and dana wasted his time and earnings in a shameful manner finally a worthy heavyweight champ who keep it clean and who actually want to fight whoever,5
395,Dana screwed this up…..,dana screwed this up,4,dana screwed this up,0
396,"i understand he’s a probably his coach and his emotional trainer, but the moment ur fighter thinks he may have bitten off more than he can chew, or he’s severely injured, when he says call it you call that shit. he’s not superman bro. he’s human even top notch athletes like him have their emotional and physical limitations. call that shit. there is no dishonor or shame in surrendering.",i understand he s a probably his coach and his emotional trainer but the moment ur fighter thinks he may have bitten off more than he can chew or he s severely injured when he says call it you call that shit he s not superman bro he s human even top notch athletes like him have their emotional and physical limitations call that shit there is no dishonor or shame in surrendering,73,i understand he s a probably his coach and his emotional trainer but the moment ur fighter think he may have bitten off more than he can chew or he s severely injured when he say call it you call that shit he s not superman bro he s human even top notch athlete like him have their emotional and physical limitation call that shit there is no dishonor or shame in surrendering,4
397,"why would jones be scared? 😂 
he’s gonna beat tom by playing his game",why would jones be scared 😂 he s gonna beat tom by playing his game,15,why would jones be scared 😂 he s gonna beat tom by playing his game,0
398,Dana looks like hes about to end the universe after getting that call from jones 😂,dana looks like hes about to end the universe after getting that call from jones 😂,16,dana look like he about to end the universe after getting that call from jones 😂,2
399,This is lame.,this is lame,3,this is lame,0
400,epic,epic,1,epic,0
401,Not the greatest performance from rountree he dominated hill what the hell you talking about,not the greatest performance from rountree he dominated hill what the hell you talking about,15,not the greatest performance from rountree he dominated hill what the hell you talking about,0
402,"DC could be the 2nd Ex-Champion to go blind in the Octagon.

I hope you're all paying attention.",dc could be the 2nd ex champion to go blind in the octagon i hope you re all paying attention,20,dc could be the 2nd ex champion to go blind in the octagon i hope you re all paying attention,0
403,what a gentleman.....kudos rumble,what a gentleman kudos rumble,5,what a gentleman kudos rumble,0
404,I'd love to see Tom kick the shyt outta jones.,i d love to see tom kick the shyt outta jones,11,i d love to see tom kick the shyt outta jones,0
405,Comon tom you can shit jonny boy is goat that is it ok you broken knees,comon tom you can shit jonny boy is goat that is it ok you broken knees,16,comon tom you can shit jonny boy is goat that is it ok you broken knee,1
406,AzerbyeJon... come on folks,azerbyejon come on folks,4,azerbyejon come on folk,1
407,Become humble,become humble,2,become humble,0
408,quinton really aint the sharpest,quinton really aint the sharpest,5,quinton really aint the sharpest,0
409,Jones is scared,jones is scared,3,jones is scared,0
410,What is Jon even doing there? 😂,what is jon even doing there 😂,7,what is jon even doing there 😂,0
411,"Jon vs Tom main event, with Connors and Chandler co main… imagine how funny that would be",jon vs tom main event with connors and chandler co main imagine how funny that would be,17,jon v tom main event with connors and chandler co main imagine how funny that would be,1
412,The eye pokes I agree was actually crazy. But not the oblique kicks,the eye pokes i agree was actually crazy but not the oblique kicks,13,the eye poke i agree wa actually crazy but not the oblique kick,3
413,What’s his entrance song,what s his entrance song,5,what s his entrance song,0
414,"Pay them enough to have it as a job, the risk of being in the cage and the money you get is not worth it",pay them enough to have it as a job the risk of being in the cage and the money you get is not worth it,25,pay them enough to have it a a job the risk of being in the cage and the money you get is not worth it,1
415,Jon standing there giggling 🤣🤣🤣,jon standing there giggling 🤣🤣🤣,5,jon standing there giggling 🤣🤣🤣,0
416,I had this fight going to Chael...Jon jones didnt even win one round.,i had this fight going to chael jon jones didnt even win one round,14,i had this fight going to chael jon jones didnt even win one round,0
417,Decisions merchant,decisions merchant,2,decision merchant,1
418,"DC was a true brave heart, saying that to jon jones",dc was a true brave heart saying that to jon jones,11,dc wa a true brave heart saying that to jon jones,1
419,Spit in someone face has deadly consequences fr fr,spit in someone face has deadly consequences fr fr,9,spit in someone face ha deadly consequence fr fr,2
420,"He never said ""JUST what type,"" it changes the narrative a wi bit",he never said just what type it changes the narrative a wi bit,13,he never said just what type it change the narrative a wi bit,1
421,Damn.... the replay is hard to watch and unimaginable,damn the replay is hard to watch and unimaginable,9,damn the replay is hard to watch and unimaginable,0
422,16 Title fights. And people still thing he has something to prove XD,16 title fights and people still thing he has something to prove xd,13,16 title fight and people still thing he ha something to prove xd,2
423,Absolute chads on either end of the weight spectrum.. much love from Blackburn England!,absolute chads on either end of the weight spectrum much love from blackburn england,14,absolute chad on either end of the weight spectrum much love from blackburn england,1
424,"I dont get whats so surprising, he doesnt want to lose. He knows this is a pretty easy fight for aspinall and so he never really had any intention of fighting him.",i dont get whats so surprising he doesnt want to lose he knows this is a pretty easy fight for aspinall and so he never really had any intention of fighting him,32,i dont get whats so surprising he doesnt want to lose he know this is a pretty easy fight for aspinall and so he never really had any intention of fighting him,1
425,The GOAT Jon Jones will keep destroying your great hope hype trains,the goat jon jones will keep destroying your great hope hype trains,12,the goat jon jones will keep destroying your great hope hype train,1
426,Get him Tom! 😂🔥,get him tom 😂🔥,4,get him tom 😂🔥,0
427,"Great documentary,  shows the artistry n iq of the goat",great documentary shows the artistry n iq of the goat,10,great documentary show the artistry n iq of the goat,1
428,Хоть одного ещё так проводили? Я не видел,хоть одного ещё так проводили я не видел,8,хоть одного ещё так проводили я не видел,0
429,"Jon stands no chance he's a scared ""heavy weight"" cant even fight Tom pfft no belief in the world will help him",jon stands no chance he s a scared heavy weight cant even fight tom pfft no belief in the world will help him,23,jon stand no chance he s a scared heavy weight cant even fight tom pfft no belief in the world will help him,1
